FID,OBJECTID,SHAPE,ID,PLZ,ORT,STRASSE,STANDORT,TYP,OBJEKTTITEL,VULGONAMEN,BIOGR_ANGABEN,INSCHRIFT,BESCHREIBUNG,MATERIAL,ENTSTEHUNG,EPOCHE,KUENSTLER,GESCHICHTE,LITERATURQUELLEN,SE_ANNO_CAD_DATA
KUNSTWERKOGD.3618737,3618737,POINT (16.338657864863873 48.171771222161),42696,1120,Wien,Unter-Meidlinger-Straße 67 / Wienerbergstraße 12,"Max-Opravil-Hof, im Kindergarten",Profanplastiken/Kunst am Bau freistehend,"Zierbrunnen mit ""Tiersäule""",,,,,Keramik,1958,12 Nach 1945,Robert OBSIEGER,,,
KUNSTWERKOGD.3618738,3618738,POINT (16.32875139414259 48.15489060658445),42698,1230,Wien,Gutheil-Schoder-Gasse 68-76/Neu-Steinhof,"Kinderspielplatz, Inzersdorf",Profanplastiken/Kunst am Bau freistehend,"Spielplastik ""Elefant""",,,,,"Kunststein
mit Mosaik",,12 Nach 1945,Susanne PESCHKE-SCHMUTZER,,,
KUNSTWERKOGD.3618739,3618739,POINT (16.399978783300437 48.25732391678585),42718,1210,Wien,Franz-Jonas-Platz,,Profanplastiken/Kunst am Bau freistehend,"""Passanten. Ein dreidimensionaler Schnappschuß""",,,,"7 Figuren: 1. alter Herr mit Stock, 2. junge, stehende Dame, 3. sitzender Hund, 4. Mann mit Pullmankappe, 6. Skateboardfahrer, 7. Wartebank mit Zeitungsleser (Mann auf der Bank).

2022: Im Zuge einer Umgestaltung des Platzes wurden 6 ins Depot verbracht. Der Passant ""Mann auf der Bank"" befindet sich nach wie vor am Franz Jonas Platz.","Metall
Stahlblech, Acryllack",,12 Nach 1945,Christian TUERR,,,
KUNSTWERKOGD.3618740,3618740,POINT (16.32557820946316 48.16087989616221),42720,1120,Wien,Am Schöpfwerk 31,Hochhaus-Luftschächteverkleidung in der  Wohnhausanlage im Innenhof nächst U6-Station,Profanplastiken/Kunst am Bau freistehend,"4 Reliefs ""Abstrakte Figurenfriese""",,,,,"Sonstiges
Beton",,12 Nach 1945,Eduard ROBITSCHKO,,,
KUNSTWERKOGD.3618741,3618741,POINT (16.319355091767083 48.159179423337285),42721,1120,Wien,Zanaschkagasse 26 / Sagedergasse 7 - 11,Am Schöpfwerk,Profanplastiken/Kunst am Bau freistehend,Raumstürmer ST 86,"""Sonne""",,,,Chrom-Nickel-Stahl,1969/70,12 Nach 1945,Josef SCHAGERL,,"Josef Schagerl. Das Werk von Josef Schagerl, hg. v. Carl Aigner, Wien 2004, S. 85 Abb.",
KUNSTWERKOGD.3618742,3618742,POINT (16.41710003045336 48.294139940081),42724,1210,Wien,"Kummergasse 7, im mittleren Hof",Wohnhausanlage vis a vis Heeresspital,Profanplastiken/Kunst am Bau freistehend,Trinkbrunnen,,,,,"freistehend
Ton, Bronze, Sinterengobe",,12 Nach 1945,Josef SCHNEIDER-WILLMANN,,,
KUNSTWERKOGD.3618743,3618743,POINT (16.472928256056885 48.246099768012144),42726,1220,Wien,Pastinakweg 10,Im Eingangsbereich vor der Volksschule,Profanplastiken/Kunst am Bau freistehend,"Eingangsbereich ""Rechenmaschine"" (außen), ""Kugelreihen"" (innen)",,,,,"Stahlgerüst, Kugeln, Fußbodenmatte",,12 Nach 1945,Kurt SPUREY,,"außen: Rechenmaschine mit 5 Reihen a 10 Kugeln (stahlgerüst, Kugeln: stahlpulverbeschichtet), innen: 55 Aluminiumkugeln an den beiden Seitenwänden; Fußbodenmatte, 10 Halogenstrahle",
KUNSTWERKOGD.3618744,3618744,POINT (16.38597743765618 48.289822972245084),42735,1210,Wien,Rußbergstraße 24,"Wohnhausanlage, Strebersdorf",Profanplastiken/Kunst am Bau freistehend,Knieender Wasserbüffel,,,,,Terrazement,,12 Nach 1945,Elisabeth TUROLT,,,
KUNSTWERKOGD.3618745,3618745,POINT (16.45681973525925 48.15159547167436),42738,1110,Wien,Leberberg - Leberweg / Josef Haasgasse 2,"5 ""L-Skulpturen"" am Leberberg",Profanplastiken/Kunst am Bau freistehend,"""L-Skulptur"" L1",,,,,"Metall
Stahl, geschweißt, lackiert",,12 Nach 1945,Leo ZOGMAYER,,,
KUNSTWERKOGD.3618746,3618746,POINT (16.417689089616687 48.171814085264074),42750,1110,Wien,Simmeringer Hauptstraße 106-108,Johann Holzer Hof,Profanplastiken/Kunst am Bau freistehend,"""Abstrakte Plastik"" (ehem.  Rutsche)",Spielplastik Rutsche,,,,Kunststein,1960/1962,12 Nach 1945,Andrea SCHRITTWIESER,,,
